,TIC,Sector,Camera,ccd,colpix,rowpix
0,383724012,14,2,3,760.6949285492927,1217.2443439365177
1,383724012,26,2,4,1145.66310683023,1150.189250517233
2,383724040,14,2,3,772.4167026799236,1217.246344115591
3,383724040,26,2,4,1155.1489455919736,1156.6494877889209
4,383724030,14,2,3,780.4982305587712,1210.2230705869592
5,383724030,26,2,4,1165.9110848813532,1155.3892850436214
6,383752641,14,2,3,773.635451034969,1186.137885590921
7,383752641,26,2,4,1174.8171636104414,1132.0034033967754
8,383752545,14,2,3,778.7339476210678,1206.4716457060276
9,383752545,26,2,4,1166.734369632052,1151.3634390245309
10,383752546,14,2,3,785.0019037139934,1203.122515723594
11,383752546,26,2,4,1173.82609621617,1152.0927976751916
12,383752434,14,2,3,797.0402519121554,1220.1809488188908
13,383752434,26,2,4,1173.3393480182121,1172.621225995085
14,383752529,14,2,3,785.9192066370651,1206.6705720577877
15,383752529,26,2,4,1172.4382626955605,1155.4868590120668
16,383752653,14,2,3,783.4436603068555,1178.545566956395
17,383752653,26,2,4,1187.3334559776995,1131.2238466010022
18,351762848,14,2,3,820.429706685109,1210.6065818866289
19,351762848,26,2,4,1198.0790242944668,1177.7449028883411
20,351762957,14,2,3,807.158393930047,1198.3187821027461
21,351762957,26,2,4,1194.6901641158647,1160.4049670489803
22,351762964,14,2,3,809.1366225282447,1195.0910213449918
23,351762964,26,2,4,1198.2380629249299,1158.8678476252724
24,351685623,14,2,3,814.732061807448,1217.0675316037011
25,351685623,26,2,4,1189.5662775091344,1179.8584894011167
26,351685559,14,2,3,828.8761970222674,1223.5022962838548
27,351685559,26,2,4,1197.1859219924456,1192.9205668910402
28,351763235,14,2,3,789.1532414368263,1142.5924805558698
29,351763235,26,2,4,1213.6016816914548,1105.0805380653933
30,351766286,14,2,3,815.0236698353106,1182.3455657719026
31,351766286,26,2,4,1210.690645645866,1151.733647105699
32,351763092,14,2,3,800.8839833683367,1169.1705419225436
33,351763092,26,2,4,1207.130936611549,1133.1984081923435
34,351766553,14,2,3,840.5280758054787,1221.6149451299061
35,351766553,26,2,4,1207.793220674634,1197.8313193395586
36,351682487,14,2,3,1142.711871194753,1783.3764540181478
37,351682487,26,2,4,1117.175966539333,1825.532663744271
38,351766214,14,2,3,807.201404672869,1170.7565335698305
39,351766214,26,2,4,1211.309328737248,1137.9741600589643
40,351763107,14,2,3,800.8209866941944,1164.8632743508642
41,351763107,26,2,4,1209.672397104005,1129.6541926906662
42,351765998,14,2,3,784.589328933243,1131.363582975886
43,351765998,26,2,4,1216.6563576302983,1093.4190746691643
44,351766019,14,2,3,791.2750308932744,1132.6159307614869
45,351766019,26,2,4,1221.334603805376,1098.1178574312437
46,351766121,14,2,3,801.6703348489904,1151.7076680679766
47,351766121,26,2,4,1218.283871470485,1119.4017892613342
48,351762983,14,2,3,811.2065767474337,1188.0226659747184
49,351762983,26,2,4,1204.172041167903,1154.252234860674
50,351766658,14,2,3,847.5431422515625,1238.0885879223215
51,351766658,26,2,4,1203.5871476173706,1215.1395766530002
52,351762952,14,2,3,813.365363798356,1195.865147851516
53,351762952,26,2,4,1201.2073666304443,1161.8332633413263
54,351766131,14,2,3,809.0263690739786,1148.9143864662758
55,351766131,26,2,4,1225.9475140610177,1121.1788960795711
56,351769672,14,2,3,1162.6932561366682,1791.2456021866437
57,351769672,26,2,4,1128.7881416847572,1843.4079982433166
58,351765882,14,2,3,789.4360492560546,1104.3662613514837
59,351765882,26,2,4,1236.865913928339,1074.0776664233504
60,351769533,14,2,3,1150.0048927822531,1762.3963963687715
61,351769533,26,2,4,1135.6706072403363,1812.6478431679054
62,351766170,14,2,3,809.1977615423685,1158.7946093999637
63,351766170,26,2,4,1220.1349809737385,1129.3267330484143
64,351766361,14,2,3,828.7996757228266,1193.0254097122456
65,351766361,26,2,4,1215.4622542148086,1168.0459608155697
66,351769721,14,2,3,1164.7184615371123,1802.564195738186
67,351769721,26,2,4,1123.6779941030265,1853.7808507509558
68,351766216,14,2,3,813.726128197588,1167.8470659562395
69,351766216,26,2,4,1218.365016871465,1139.2022818062887
70,351766260,14,2,3,818.1491770571973,1175.8756881298611
71,351766260,26,2,4,1217.1267903303108,1148.1864859591517
72,351765920,14,2,3,788.2604397340248,1113.3245322024432
73,351765920,26,2,4,1230.5091070569056,1080.7348644066228
74,351800065,14,2,3,847.3075255050425,1182.4527867829456
75,351800065,26,2,4,1236.8953043490155,1169.660014316731
76,351800186,14,2,3,835.5329774629173,1160.5250029697825
77,351800186,26,2,4,1240.5230844469922,1145.2704486543873
78,351799892,14,2,3,855.0083183329457,1216.469016700389
79,351799892,26,2,4,1222.6734709043951,1201.6566038016654
80,351770086,14,2,3,1180.6910871353293,1798.243767616127
81,351770086,26,2,4,1139.314351256441,1859.45148618668
82,351800211,14,2,3,825.1271837159427,1160.6049333516612
83,351800211,26,2,4,1232.0026856449836,1139.5902184681127
84,351800399,14,2,3,806.911549922131,1127.1920133942594
85,351800399,26,2,4,1237.319578109828,1102.3040763887886
86,351800502,14,2,3,799.9464556576534,1108.9823047788088
87,351800502,26,2,4,1242.6329092468718,1083.6214582598443
88,351770226,14,2,3,1167.9374832649198,1767.8633767754725
89,351770226,26,2,4,1147.0577471081233,1827.3915523333262
90,351800352,14,2,3,812.2133960153717,1135.6668166112343
91,351800352,26,2,4,1236.524550905939,1112.1349998338796
92,351800588,14,2,3,792.7915742049837,1096.2874467183865
93,351800588,26,2,4,1244.4682436435796,1069.3344123407799
